slice,case,contour,roi_name,point_count
1,P1_S5_F0970,arytenoid-cartilage,01_P1_S5_F0970__arytenoid-cartilage,50
1,P1_S5_F0970,epiglottis,01_P1_S5_F0970__epiglottis,50
1,P1_S5_F0970,lower-incisor,01_P1_S5_F0970__lower-incisor,50
1,P1_S5_F0970,lower-lip,01_P1_S5_F0970__lower-lip,50
1,P1_S5_F0970,pharynx,01_P1_S5_F0970__pharynx,50
1,P1_S5_F0970,soft-palate-midline,01_P1_S5_F0970__soft-palate-midline,50
1,P1_S5_F0970,thyroid-cartilage,01_P1_S5_F0970__thyroid-cartilage,50
1,P1_S5_F0970,tongue,01_P1_S5_F0970__tongue,50
1,P1_S5_F0970,upper-incisor,01_P1_S5_F0970__upper-incisor,50
1,P1_S5_F0970,upper-lip,01_P1_S5_F0970__upper-lip,50
1,P1_S5_F0970,vocal-folds,01_P1_S5_F0970__vocal-folds,50
2,P3_S5_F0769,arytenoid-cartilage,02_P3_S5_F0769__arytenoid-cartilage,50
2,P3_S5_F0769,epiglottis,02_P3_S5_F0769__epiglottis,50
2,P3_S5_F0769,lower-incisor,02_P3_S5_F0769__lower-incisor,50
2,P3_S5_F0769,lower-lip,02_P3_S5_F0769__lower-lip,50
2,P3_S5_F0769,pharynx,02_P3_S5_F0769__pharynx,50
2,P3_S5_F0769,soft-palate-midline,02_P3_S5_F0769__soft-palate-midline,50
2,P3_S5_F0769,thyroid-cartilage,02_P3_S5_F0769__thyroid-cartilage,50
2,P3_S5_F0769,tongue,02_P3_S5_F0769__tongue,50
2,P3_S5_F0769,upper-incisor,02_P3_S5_F0769__upper-incisor,50
2,P3_S5_F0769,upper-lip,02_P3_S5_F0769__upper-lip,50
2,P3_S5_F0769,vocal-folds,02_P3_S5_F0769__vocal-folds,50
3,P4_S5_F0787,arytenoid-cartilage,03_P4_S5_F0787__arytenoid-cartilage,50
3,P4_S5_F0787,epiglottis,03_P4_S5_F0787__epiglottis,50
3,P4_S5_F0787,lower-incisor,03_P4_S5_F0787__lower-incisor,50
3,P4_S5_F0787,lower-lip,03_P4_S5_F0787__lower-lip,50
3,P4_S5_F0787,pharynx,03_P4_S5_F0787__pharynx,50
3,P4_S5_F0787,soft-palate-midline,03_P4_S5_F0787__soft-palate-midline,50
3,P4_S5_F0787,thyroid-cartilage,03_P4_S5_F0787__thyroid-cartilage,50
3,P4_S5_F0787,tongue,03_P4_S5_F0787__tongue,50
3,P4_S5_F0787,upper-incisor,03_P4_S5_F0787__upper-incisor,50
3,P4_S5_F0787,upper-lip,03_P4_S5_F0787__upper-lip,50
3,P4_S5_F0787,vocal-folds,03_P4_S5_F0787__vocal-folds,50
4,P5_S5_F0809,arytenoid-cartilage,04_P5_S5_F0809__arytenoid-cartilage,50
4,P5_S5_F0809,epiglottis,04_P5_S5_F0809__epiglottis,50
4,P5_S5_F0809,lower-incisor,04_P5_S5_F0809__lower-incisor,50
4,P5_S5_F0809,lower-lip,04_P5_S5_F0809__lower-lip,50
4,P5_S5_F0809,pharynx,04_P5_S5_F0809__pharynx,50
4,P5_S5_F0809,soft-palate-midline,04_P5_S5_F0809__soft-palate-midline,50
4,P5_S5_F0809,thyroid-cartilage,04_P5_S5_F0809__thyroid-cartilage,50
