case,label,changed,rms_displacement_px,max_displacement_px,source_path
P1_S5_F0970,arytenoid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_arytenoid-cartilage.npy
P1_S5_F0970,epiglottis,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_epiglottis.npy
P1_S5_F0970,lower-incisor,True,0.6047624855296496,3.0824263003778243,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_lower-incisor.npy
P1_S5_F0970,lower-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_lower-lip.npy
P1_S5_F0970,pharynx,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_pharynx.npy
P1_S5_F0970,soft-palate-midline,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_soft-palate-midline.npy
P1_S5_F0970,thyroid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_thyroid-cartilage.npy
P1_S5_F0970,tongue,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_tongue.npy
P1_S5_F0970,upper-incisor,True,3.162277630804098,3.162279828758954,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_upper-incisor.npy
P1_S5_F0970,upper-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_upper-lip.npy
P1_S5_F0970,vocal-folds,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P1\S5\contours\0970_vocal-folds.npy
P3_S5_F0769,arytenoid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_arytenoid-cartilage.npy
P3_S5_F0769,epiglottis,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_epiglottis.npy
P3_S5_F0769,lower-incisor,True,1.409435486161771,5.220314015917422,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_lower-incisor.npy
P3_S5_F0769,lower-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_lower-lip.npy
P3_S5_F0769,pharynx,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_pharynx.npy
P3_S5_F0769,soft-palate-midline,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_soft-palate-midline.npy
P3_S5_F0769,thyroid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_thyroid-cartilage.npy
P3_S5_F0769,tongue,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_tongue.npy
P3_S5_F0769,upper-incisor,True,0.3860363303782363,1.0356067067314592,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_upper-incisor.npy
P3_S5_F0769,upper-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_upper-lip.npy
P3_S5_F0769,vocal-folds,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P3\S5\contours\0769_vocal-folds.npy
P4_S5_F0787,arytenoid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P4\S5\contours\0787_arytenoid-cartilage.npy
P4_S5_F0787,epiglottis,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P4\S5\contours\0787_epiglottis.npy
P4_S5_F0787,lower-incisor,True,0.5506698656476664,3.4691774475442663,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P4\S5\contours\0787_lower-incisor.npy
P4_S5_F0787,lower-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P4\S5\contours\0787_lower-lip.npy
P4_S5_F0787,pharynx,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P4\S5\contours\0787_pharynx.npy
P4_S5_F0787,soft-palate-midline,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P4\S5\contours\0787_soft-palate-midline.npy
P4_S5_F0787,thyroid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P4\S5\contours\0787_thyroid-cartilage.npy
