output_basename,speaker,raw_subject,session,selected_source,image_source,annotation_source,annotation_status,annotation_origin_path,reference_bundle_dir,reference_bundle_name,prev_frame_1based,center_frame_1based,next_frame_1based,channel_order,output_size,annotation_space
1612_P1_S16_F0952,P1,1612,S16,P1/S16/F0952,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1612_P1_S16_F0952.png,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data\1612_P1_S16_F0952.zip,scaled_latest_annotation,C:\Users\nhnguyen\PhD_A2A\grid transform\outputs\annotation_to_grid_transform\1612_P1_S16_F0952__nnunet_2008-003_01-1791_test_143020\source_annotation.latest.json,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1612_P1_S16_F0952,951,952,953,"R=t-1,G=t,B=t+1",480x480,480x480
1617_P2_S9_F1478,P2,1617,S9,P2/S9/F1478,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1617_P2_S9_F1478.png,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data\1617_P2_S9_F1478.zip,scaled_latest_annotation,C:\Users\nhnguyen\PhD_A2A\grid transform\outputs\source_annotation_edits\curated_u_batch\1617_P2_S9_F1478\edited_annotation.json,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1617_P2_S9_F1478,1477,1478,1479,"R=t-1,G=t,B=t+1",480x480,480x480
1618_P3_S14_F1556,P3,1618,S14,P3/S14/F1556,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1618_P3_S14_F1556.png,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data\1618_P3_S14_F1556.zip,scaled_latest_annotation,C:\Users\nhnguyen\PhD_A2A\grid transform\outputs\source_annotation_edits\curated_u_batch\1618_P3_S14_F1556\edited_annotation.json,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1618_P3_S14_F1556,1555,1556,1557,"R=t-1,G=t,B=t+1",480x480,480x480
1628_P4_S4_F0196,P4,1628,S4,P4/S4/F0196,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1628_P4_S4_F0196.png,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data\1628_P4_S4_F0196.zip,scaled_latest_annotation,C:\Users\nhnguyen\PhD_A2A\grid transform\outputs\source_annotation_edits\curated_u_batch\1628_P4_S4_F0196\edited_annotation.json,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1628_P4_S4_F0196,195,196,197,"R=t-1,G=t,B=t+1",480x480,480x480
1635_P5_S6_F0324,P5,1635,S6,P5/S6/F0324,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1635_P5_S6_F0324.png,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data\1635_P5_S6_F0324.zip,scaled_latest_annotation,C:\Users\nhnguyen\PhD_A2A\grid transform\outputs\source_annotation_edits\curated_u_batch\1635_P5_S6_F0324\edited_annotation.json,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1635_P5_S6_F0324,323,324,325,"R=t-1,G=t,B=t+1",480x480,480x480
1638_P6_S8_F0138,P6,1638,S8,P6/S8/F0138,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1638_P6_S8_F0138.png,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data\1638_P6_S8_F0138.zip,scaled_latest_annotation,C:\Users\nhnguyen\PhD_A2A\grid transform\outputs\source_annotation_edits\curated_u_batch\1638_P6_S8_F0138\edited_annotation.json,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1638_P6_S8_F0138,137,138,139,"R=t-1,G=t,B=t+1",480x480,480x480
1640_P7_S2_F0829,P7,1640,S2,P7/S2/F0829,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1640_P7_S2_F0829.png,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data\1640_P7_S2_F0829.zip,scaled_latest_annotation,C:\Users\nhnguyen\PhD_A2A\grid transform\outputs\annotation_to_grid_transform\1640_P7_S2_F0829__nnunet_2008-003_01-1791_test_143020\source_annotation.latest.json,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1640_P7_S2_F0829,828,829,830,"R=t-1,G=t,B=t+1",480x480,480x480
1653_P8_S2_F0159,P8,1653,S2,P8/S2/F0159,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1653_P8_S2_F0159.png,,missing,,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1653_P8_S2_F0159,158,159,160,"R=t-1,G=t,B=t+1",480x480,480x480
1659_P9_S5_F0196,P9,1659,S5,P9/S5/F0196,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1659_P9_S5_F0196.png,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data\1659_P9_S5_F0196.zip,scaled_latest_annotation,C:\Users\nhnguyen\PhD_A2A\grid transform\outputs\source_annotation_edits\curated_u_batch\1659_P9_S5_F0196\edited_annotation.json,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1659_P9_S5_F0196,195,196,197,"R=t-1,G=t,B=t+1",480x480,480x480
1662_P10_S14_F0110,P10,1662,S14,P10/S14/F0110,C:\Users\nhnguyen\PhD_A2A\backup\grid_transform_cleanup_20260402\u_curated_selection_20260330_rgb480_triplets\1662_P10_S14_F0110.png,,missing,,C:\Users\nhnguyen\PhD_A2A\grid transform\VTLN\data,1662_P10_S14_F0110,109,110,111,"R=t-1,G=t,B=t+1",480x480,480x480
